width_ms,rep,t_ms,tau
5,1,10.699484,-0.049477
5,1,12.571501,-0.049477
5,1,14.728134,0.123691
5,1,16.468360,-0.024738
5,1,18.705491,-0.049477
5,1,20.512039,0.049477
5,1,22.687848,0.123691
5,1,24.721209,0.024738
5,1,26.505673,-0.074215
5,1,28.689939,-0.074215
5,1,30.489170,0.049477
5,1,32.683767,0.049477
5,1,34.559860,-0.024738
5,1,36.507529,0.049477
5,1,38.493060,0.024738
5,1,40.571628,0.024738
5,1,42.708363,0.024738
5,1,44.576850,0.049477
5,1,46.688742,0.024738
5,1,48.535256,0.000000
5,1,50.401524,0.074215
5,1,52.652736,0.074215
5,1,54.443593,0.024738
5,1,56.496702,0.024738
5,1,58.469424,0.074215
5,1,60.687728,0.148430
5,1,62.510630,0.049477
5,1,64.682881,0.074215
5,1,66.472432,0.074215
5,2,1.352346,0.123691
5,2,3.495278,0.123691
5,2,5.709660,0.049477
5,2,7.144772,0.000000
5,2,9.436251,0.000000
5,2,11.308349,-0.049477
5,2,13.328408,0.222645
5,2,15.526577,0.222645
5,2,17.474711,-0.024738
5,2,19.306007,0.000000
5,2,21.558361,-0.024738
5,2,23.468628,0.049477
5,2,25.330382,0.148430
5,2,27.413068,0.024738
5,2,29.517338,-0.024738
5,2,31.497413,0.000000
5,2,33.558388,0.049477
5,2,35.499214,0.024738
5,2,37.277410,0.024738
5,2,39.282452,0.024738
5,2,41.320509,0.024738
5,2,43.273268,0.049477
5,2,45.546874,0.049477
5,2,47.562616,0.049477
5,2,49.519035,0.049477
5,2,51.290515,0.024738
5,2,53.304851,0.024738
5,2,55.290483,0.049477
5,2,57.357931,0.000000
5,2,59.317160,0.074215
5,2,61.292126,0.049477
5,2,63.491808,0.049477
5,2,65.296183,0.000000
5,3,1.998594,0.123691
5,3,4.036926,0.074215
5,3,5.968747,0.000000
5,3,8.149882,0.000000
5,3,10.118931,0.123691
5,3,12.130164,0.123691
5,3,14.158232,0.173168
5,3,15.960001,-0.024738
5,3,17.952368,-0.024738
5,3,20.032817,0.000000
5,3,22.124385,0.049477
5,3,23.943017,0.049477
5,3,26.153453,0.049477
5,3,27.947075,0.024738
5,3,30.216905,0.148430
5,3,32.012803,0.123691
5,3,33.968483,0.024738
5,3,36.166269,0.049477
5,3,38.146706,0.024738
5,3,40.203026,0.123691
5,3,42.027900,0.049477
5,3,44.163727,0.049477
5,3,45.960909,0.024738
5,3,48.112466,0.074215
5,3,50.157718,0.074215
5,3,52.333129,0.074215
5,3,54.111014,0.074215
5,3,56.119261,0.049477
5,3,58.096338,0.049477
5,3,59.927916,0.049477
5,3,62.104505,0.024738
5,3,63.992558,0.024738
5,3,66.117762,0.049477
